region,total_work_region,men,women,germans,foreigners,15_to_25_years,25_to_55_years,55_to_65_years,without_professional_qualification,with_professional_qualification,with_academic_degree,total_home_region
Miesbach,3173.780098280098,3303.2566539923955,2905.3387096774195,3322.8765432098767,2533.9239130434785,2443.7291666666665,3267.6511627906975,3369,2390.8846153846152,3086.035714285714,5607.375,3355.7710843373493
Mühldorf a.Inn,3180.364253393665,3361.660714285714,2791.006329113924,3343.2518427518426,2382.616788321168,2585.2402597402597,3244.7477876106195,3417.8529411764707,2538.3048780487807,3255.205882352941,4756.181818181818,3334.070075757576
München,4328.387139107612,4628.3633004926105,3846.6267605633802,4600.5,3144.146080760095,2621.653846153846,4423.883280757098,4738,2697.104938271605,3771.7843642611683,5934.236842105263,4202.0123456790125
Neuburg-Schrobenhausen,3269.20709382151,3424.2179487179487,2805.454954954955,3401.375796178344,2572.953703703704,2625.5,3339.1363636363635,3455.275280898876,2800.938596491228,3268.0867507886437,5702.673913043478,3524.387434554974
Pfaffenhofen a.d.Ilm,3339.821608040201,3515.681818181818,2957.9,3612.2138364779876,2459.1466165413535,2517.280821917808,3424.0236220472443,3654.468253968254,2491.9772727272725,3316.834355828221,6266.571428571428,3701.892572944297
Rosenheim,3114.160062565172,3293.3695652173915,2736.7459546925566,3238.8928571428573,2527.8923444976076,2503.1143790849674,3199.3333333333335,3251.568376068376,2538.347222222222,3116.34595959596,4734.136363636364,3377.747191011236
Starnberg,3784.1875,4126.310185185185,3321.6111111111113,3972.877049180328,2961.0392156862745,2558,3878.5188679245284,4029.796875,2581.2291666666665,3461.0187319884726,5556.2692307692305,3998.6967213114754
Traunstein,3357.0308988764045,3581.389145496536,2913.912017167382,3464.7109500805154,2624.5291262135925,2608.5508474576272,3439.0673624288424,3550.719298245614,2872.7972972972975,3289.4967637540453,5695.407407407408,3325.181753889675
Weilheim-Schongau,3610.8165938864627,3779.6935483870966,3230.8082191780823,3709.9362745098038,2792.9603174603176,2724.824324324324,3727.297385620915,3787.8333333333335,2994.9444444444443,3505.214640198511,5801.055555555556,3585.8950103950106
"Landshut, Stadt",3293.4268292682927,3475.222222222222,3056.9189189189187,3478.4545454545455,2266.125,2542.318181818182,3355.732558139535,3654.826923076923,2261.6111111111113,3278.5864197530864,5018.603448275862,3346.951612903226
"Passau, Stadt",3383.9862385321103,3696.179012345679,2881.996062992126,3500.6510574018125,2497.259259259259,2545.03125,3444.2743190661477,3789.25,2426.235294117647,3309.845047923323,4927.772727272727,3125.363387978142
"Straubing, Stadt",3102.992668621701,3244.582125603865,2842.1666666666665,3238.1106194690265,2114.293103448276,2383.1271186440677,3160.560975609756,3359.875,2203,3115.659574468085,4730.5,3002.554794520548
Deggendorf,3198.7701812191103,3350.0433789954336,2782.349315068493,3288.838788870704,2406.478260869565,2581.8432835820895,3267.9134419551933,3430.2169811320755,2396.244680851064,3197.9257425742576,4893.882352941177,3268.610918544194
Freyung-Grafenau,2884.198630136986,3057.4607843137255,2354.7035398230087,2976.7295081967213,2368.3571428571427,2448.3813559322034,2953.0862068965516,3084.1363636363635,2450.5,2900.109375,4327.423076923077,3097.162468513854
Kelheim,3184.6201716738196,3315.6459854014597,2748.549645390071,3288.1518218623482,2619.1170212765956,2606.1666666666665,3218.4756637168143,3399.2012987012986,2935.6063829787236,3199.921965317919,4836.863636363636,3367.5349907918967
Landshut,3190.491408934708,3358.0373134328356,2769.7073170731705,3390.4014778325122,2434.0069444444443,2584.7696629213483,3266.4876543209875,3407.2204301075267,2445.107843137255,3227.591439688716,5215.604166666667,3439.423076923077
Passau,2840.1028037383176,3026.9214046822744,2332.6153846153848,2955.9471544715448,2278.277777777778,2350.5,2897.217171717172,2981.9583333333335,2542.563492063492,2852.7321428571427,4653.725806451613,3092.633333333333
Regen,2976.6363636363635,3139.088850174216,2490.995867768595,3104.231343283582,2316.7337662337663,2525.9464285714284,3007.888663967611,3186.5576923076924,2418.735294117647,3001.359375,4606.75,3159.9117647058824
Rottal-Inn,2885.511061946903,3072.970238095238,2422.775641025641,2985.1195652173915,2172.1145833333335,2362.1822429906542,2962.3784530386743,3096.3333333333335,2236.4375,2936.3076009501187,4278.833333333333,3101.8691683569978
Straubing-Bogen,2935.041420118343,3134.8173431734317,2396.4375,3121.62462006079,2075.5,2527.722222222222,3007.2887931034484,3032.05737704918,2450.5,3030.5,4591.409090909091,3289.7523364485983
Dingolfing-Landau,4103.093360995851,4730.994505494506,2981.3252427184466,4594.9047619047615,2527.597902097902,2860.222222222222,4317.417293233083,4580.261904761905,3208.8333333333335,4419.567796610169,5979.346153846154,3385.8278688524592
"Amberg, Stadt",3558.264505119454,3796.7662337662337,3132.0789473684213,3624.8727598566306,2330.5,2681.75,3643.182926829268,3753.7894736842104,2932.318181818182,3445.2643979057593,5961.75,3260.4162011173185
"Regensburg, Stadt",3817.922434367542,4295.876016260163,3284.1746987951806,3976.556338028169,2605.6666666666665,2780.7884615384614,3952.9053627760254,4087.324324324324,2768.5851063829787,3603.546218487395,5721.236434108527,3633.815098468271
"Weiden i.d.OPf., Stadt",2928,3020.5,2775.757731958763,3036.214285714286,2089.8939393939395,2318.681818181818,2975.2816593886464,3166.7698412698414,2185.0588235294117,2931.7030075187968,4342.166666666667,2991.8888888888887
Amberg-Sulzbach,3213.1112759643916,3376.1153846153848,2716.858024691358,3280.635951661631,2526.75,2574.6803278688526,3266.0753968253966,3382.8863636363635,2768.8333333333335,3200.9355400696863,5070.142857142857,3386.361423220974
Cham,2930.137436762226,3112.57805907173,2417.7043010752686,3089.6527001862196,2137.84375,2440.3,3003.3656126482215,3122.669811320755,2251.815789473684,2972.483546617916,4420.5,3144.7561983471073
Neumarkt i.d.OPf.,3281.6495176848875,3431.6810154525388,2819.648936170213,3377.7727272727275,2477.7727272727275,2618.2710843373493,3366.003432494279,3501.3522727272725,2416.0405405405404,3281.8819577735126,4898.648148148148,3404.3585209003218
Neustadt a.d.Waldnaab,3062.6031746031745,3199.345108695652,2580.5,3171.2107843137255,2210.0238095238096,2604.8478260869565,3102.2175572519086,3215.651515151515,2404.346153846154,3043.9248554913293,4485.023809523809,3164.7634854771786
Regensburg,3194.0745140388767,3357.8529411764707,2755.5699300699303,3374.9884910485935,2371.9080459770116,2549.050724637681,3282.0826330532213,3306.0882352941176,2556.872549019608,3238.497658079625,5063.735294117647,3588.7879656160458
Schwandorf,3073.8024691358023,3285.082542694497,2591.7298387096776,3210.5326264274063,2327.9305555555557,2574.818181818182,3135.2623966942147,3225.5,2513.4411764705883,3118.489417989418,4672.375,3265.354570637119
Tirschenreuth,2973.0833333333335,3142.776422764228,2437.715909090909,3165.669491525424,2113.534188034188,2464.844262295082,3009.7105263157896,3193.5851063829787,2382.8529411764707,3028.9444444444443,4958.833333333333,3184.4385474860337
"Bamberg, Stadt",3426.1720430107525,3815.1017699115046,2930.839805825243,3543.194805194805,2144.907894736842,2523.3260869565215,3473.8271375464683,3861.8636363636365,2716.125,3371.9897260273974,4632.117647058823,3315.8846153846152
"Bayreuth, Stadt",3248.1394849785406,3434.5677966101694,2995.589285714286,3311.5344827586205,2105.5925925925926,2357.2708333333335,3302.0015015015015,3508.6632653061224,2186.9864864864867,3134.8994778067886,4975.5,3144
"Coburg, Stadt",3686.917322834646,3907.8204419889503,3272.7457627118642,3741.125,2230.5,2724.6666666666665,3785.6895734597156,3835.5,2286.6111111111113,3556.75,5561.529411764706,3282.4148936170213
"Hof, Stadt",2744.9656488549617,2838.8241758241757,2530.663043478261,2837.8456790123455,2145.5,2143.2419354838707,2745.5,3039.0135135135133,2177.3518518518517,2727.5100502512564,4238,2758.4656862745096
Bamberg,2968.2301255230127,3100.4281609195405,2545.5,3064.375,2288.686813186813,2479.5625,3027.830508474576,3105.8571428571427,2542.1666666666665,2994.5176322418138,5441.846153846154,3342.880560131796
Bayreuth,2933.3185328185327,3097.550561797753,2458.0842696629215,3008.901639344262,2149.8589743589746,2409.3709677419356,2986.1796116504856,3014.190476190476,2331.75,2952.9193548387098,4702.583333333333,3234.320459290188
Coburg,2756.690476190476,2896.653846153846,2363.681818181818,2777.824120603015,2367.891304347826,2319.6666666666665,2809.853146853147,2760.9651162790697,2236.3695652173915,2755.3630136986303,4478,3108.5555555555557
Forchheim,3203.026132404181,3424.962365591398,2693.1767676767677,3286.508230452675,2467.326923076923,2499.904761904762,3253.0862068965516,3469.25,2527.1666666666665,3098.0235849056603,6082.2307692307695,3609.668704156479
Hof,2771.7164750957854,2881.7820512820513,2456.4815950920247,2824.5918803418804,2238.6944444444443,2306.75,2824.7574257425745,2799.4690721649486,2211.6111111111113,2716.3333333333335,4693.882352941177,2850.5
Kronach,2803.1477832512314,2949.534749034749,2396.7903225806454,2827.378238341969,2334.5,2357.6428571428573,2872.8076923076924,2768.1020408163267,2430.3611111111113,2794.557971014493,4739.25,2865.714285714286
Kulmbach,3036.876021798365,3152.0151515151515,2736.7244897959185,3074.309523809524,2275.5,2508.8333333333335,3081.0555555555557,3178.3571428571427,2504.0714285714284,3008.277777777778,4661.214285714285,3074.132218844985
Lichtenfels,2817.2168674698796,2968.9633027522937,2432.396551724138,2879.844262295082,2115.295918367347,2373.2272727272725,2903.612449799197,2793.9375,2226.377192982456,2845.7830188679245,4610.916666666667,2928.891167192429
Wunsiedel i.Fichtelgebirge,2980.4882629107983,3128.1,2608.1446280991736,3086.7126245847176,2210.0588235294117,2516.472222222222,2994.6935483870966,3121.3333333333335,2505.0138888888887,2996.3933717579253,4885.5,2958.8333333333335
"Ansbach, Stadt",3280.1028880866425,3513,2945.5,3399.75,1874.590909090909,2519.9444444444443,3331.3056872037914,3569.0344827586205,2240.5,3253.414798206278,4455.5,3041.450226244344
"Erlangen, Stadt",4786.913043478261,5544.457345971564,3794.794605809129,4895.858306188925,4006.0555555555557,2833.436507936508,4926.786173633441,5294.018518518518,3417.464285714286,3823.6481481481483,> 6.500,4318.527888446215
"Fürth, Stadt",3320.442528735632,3567.4144981412637,3008.5232558139537,3495.52457002457,2278.1785714285716,2436.9583333333335,3352.6260997067448,3666.3536585365855,2475.037037037037,3283.1740506329115,5219.481481481482,3344.375502008032
"Nürnberg, Stadt",3559.205170975813,3823.7291666666665,3199.9843049327355,3774.9949494949497,2393.591054313099,2448.0524475524476,3622.7571942446043,3917.054054054054,2400.7568493150684,3400.956498388829,5330.399135446686,3374.2849162011175
"Schwabach, Stadt",3092.6768707482993,3304.7134831460676,2678.512048192771,3253,2401.9285714285716,2450.5,3128.185950413223,3342.1666666666665,2313.462962962963,3149.5942028985505,4578.833333333333,3305.1875
Ansbach,2945.685810810811,3097.053090332805,2540.1296296296296,3052.890180878553,2301.676470588235,2456.482905982906,2993.5637982195844,3065.777777777778,2452.8809523809523,3016.4310344827586,4363.833333333333,3151.830076004343
Erlangen-Höchstadt,4106.258017492712,4349.713836477988,3563.484496124031,4121.916666666667,4004.346153846154,2713.9615384615386,4287.744897959184,3939.1363636363635,3226.235294117647,3667.3772563176894,5994.172839506173,4019.1153846153848
Fürth,2936.399653979239,3070.614942528736,2634.6304347826085,3056.168016194332,2247.487951807229,2360.685185185185,2987.2718446601943,3040.992957746479,2217.1666666666665,2999.3297872340427,4313,3571.6184210526317
Nürnberger Land,3240.0951035781545,3442.494382022472,2775.898936170213,3379.377551020408,2399.515748031496,2534.730769230769,3282.157608695652,3500.9854368932038,2452.2045454545455,3263.3571428571427,5088,3523.877192982456
Neustadt a.d.Aisch-Bad Windsh.,2842.383886255924,3007.904181184669,2452.790076335878,2958.811688311688,2148.438144329897,2320.9861111111113,2884.9982078853045,3061.8333333333335,2243.46875,2909.0016835016836,4010.0238095238096,3144.2741312741314
Roth,3067.9407114624505,3198.9203296703295,2671.9285714285716,3162.4331742243435,2442.5454545454545,2486.7903225806454,3129.403903903904,3249.1263736263736,2442.3367346938776,3096.8133640552996,4417.924242424242,3430.0279383429674
Weißenburg-Gunzenhausen,3136.160847880299,3297.567448680352,2661.660714285714,3219.638418079096,2446.811475409836,2531.8829787234044,3165.34375,3361.3585858585857,2630.8571428571427,3157.893292682927,4803.625,3234.6700819672133
"Aschaffenburg, Stadt",3438.504750593824,3774.2951807228915,2900.9464285714284,3562.199164345404,2499.9565217391305,2433.3125,3514.73487544484,3775.5,2302.5833333333335,3391.409090909091,5397.523809523809,3424.824324324324
"Schweinfurt, Stadt",4148.3209191759115,4327.725130890052,3252.035087719298,4183.090634441088,3261.0263157894738,3105.572463768116,4224.1381322957195,4332.4047619047615,3407.7916666666665,3958.8333333333335,6046.578431372549,3329.4473684210525
"Würzburg, Stadt",3398.8519900497513,3629.6460396039606,3127.0927977839337,3479.1140583554375,2310.549019607843,2503.53738317757,3444.7105263157896,3717.6487603305786,2254.3793103448274,3295.464285714286,4782.907407407408,3374.7805755395684
Aschaffenburg,3209.8867924528304,3428.669014084507,2670.4101796407185,3325.98596112311,2470.2727272727275,2414.2820512820513,3262.525316455696,3484.0858585858587,2329.468253968254,3202.1705069124423,5389.388888888889,3530.1875
Bad Kissingen,2970.1514423076924,3157.5234113712377,2496.4134615384614,3033.551948051948,2178.7894736842104,2388.9615384615386,2996.526490066225,3224.897590361446,2302.285714285714,2994.4801699716713,4126.5,3203.5128205128203
Rhön-Grabfeld,3236.9306784660766,3425.8289473684213,2770.449494949495,3269.341642228739,2370.5,2553,3334.1032388663966,3255.1052631578946,2533.8333333333335,3156.75,5298.576923076923,3305.37987987988
Haßberge,3205.996453900709,3396.4737827715358,2633.4741379310344,3254.0953177257525,2316.5714285714284,2539.2755102040815,3271.7053571428573,3384.730769230769,2705.3076923076924,3193.102996254682,4810.916666666667,3356.9666666666667
Kitzingen,3179.3978494623657,3353.2,2655.396907216495,3291.761398176292,2274.556603773585,2459.195652173913,3243.448717948718,3320.371794871795,2558.5,3178.1845637583892,5040.5,3148.758706467662
Miltenberg,3203.0590551181103,3367.9791086350974,2698.590277777778,3312.8958333333335,2524.7753623188405,2482.140625,3270.669082125604,3345.185039370079,2823.294117647059,3226.3186397984887,4973.9375,3310.1153846153848
Main-Spessart,3531.2839388145317,3722.272151898734,2950.859712230216,3597.9742268041236,2573.049019607843,2725.5,3592.417808219178,3729.0714285714284,3177.7727272727275,3459.4861751152075,6193.792682926829,3508.6103678929767
Schweinfurt,2754.6551246537397,2838.1353790613716,2519.818181818182,2870.9545454545455,2266.448275862069,2337.5833333333335,2798.077519379845,2867.7535211267605,2363.78125,2793.681818181818,3977.285714285714,3578.602189781022
Würzburg,3088.6521739130435,3208.3733766233768,2821.030726256983,3172.5823798627002,2331.269230769231,2457.0384615384614,3147.437321937322,3261.521505376344,2367.3367346938776,3056.1629834254145,4318.424528301887,3367.6052631578946
"Augsburg, Stadt",3639.6355140186915,4088.965250965251,3128.4646017699115,3837.7658079625294,2484.1244541484716,2551.1666666666665,3725.8851540616247,4014.889534883721,2332.6721311475408,3467.635761589404,5387.917218543046,3296.241394527802
